Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-44-6145-01A	0.0686380124500802	0	0.195064616472563	0.193869798875211	0	0.0977327009450183	0.11138186435536	0.00358434663745088	0.0226124677437779	0	0.0304149610555557	0	0.00596084274757352	0.0451693728226864	0.0749929106673368	0.0662293277014342	0.00770187277710056	0.0269552839767221	0.027342780887805	0	0	0.0223488398843247	0	0.484004145820417	0.874608089258834
TCGA-44-6146-01A	0.0382515991184509	0	0.0887039257854015	0.125522360559929	0	0.338678639243825	0.0225701679170573	0.0155699250761291	0	0.00604450842889645	0	0	0.0195490769512607	0.0216540557020387	0.0729719298097239	0.10902345249643	0.0478832344593975	0	0.0628299122016895	0	0	0.03074721224977	0.05	0.141289252248285	1.03103145080872
TCGA-44-6146-01B	0.0977238767184828	0	0.0369662991231559	0	0	0.503925075935129	0.0163924148117296	0	0	0	0.0304255676463846	0	0.0114314476950604	0	0.00223501893771814	0.0884306416884088	0.0348675060840894	0.0932219198835139	0	0.0145191680324649	0.0642307473529135	0.00563031609094929	0.13	0.0869536615653669	1.06252821175374
TCGA-44-6147-01A	0.158764558374442	0	0.241151187650963	0.0577959081134099	0	0.165422239488204	0.0264352944074719	0	0.0237872372223741	0.00778421795727158	0	0	0	0.14616556708247	0.0574251941581547	0.0634218815884589	0	0.00222435873764998	0.0440880262193918	0	0	0.00553432899973844	0	0.525518650147661	0.850153126161183
TCGA-44-6147-01B	0.122961218086166	0.0374625780281156	0.113310041000258	0	0	0.387021011955094	0.061546881714921	0	0	0	0	0	0	0	0.0275955792185465	0.105393380555942	0	0.0493107947204596	0.044824946018494	0	0.0469519113389736	0.00362165736302904	0	0.369177757919439	0.931769732987889
TCGA-44-6148-01A	0.115941715813869	0	0.245339459336283	0.0377021344368036	0	0.0597507677233619	0	0.0258917647144198	0	0	0	0.0197882178978837	0.0221679831268858	0.0127549330567503	0.00244971809604959	0.145311635415525	0.0252027782963649	0.00518744216863059	0.268618505207708	0	0.0123659445971302	0.00152700011233421	0	0.525483776806866	0.851465403829639
TCGA-44-6775-01C	0.0905399948699378	0	0.0349364854361063	0	0	0.309737149507187	0.0656701213316362	0	0	0	0.0152029952130433	0	0.0127817093339388	0	0.00892663038465383	0.168852074150543	0.022594479460194	0.0807954034798807	0.0733191031479672	0	0.116643853684912	0	0.01	0.216669125682521	0.988194940145852
TCGA-44-6776-01A	0.0227436098617661	0	0.124988523467864	0.113944500485739	0	0.177872136558792	0	0.0491490237342994	0	0	0	0.0529618251690215	0.0158562614065849	0	0.0185333921070074	0.108965484137078	0.0709947672861939	0.0600654507455441	0.179833795021809	0	0	0.00409123001829958	0.01	0.27200396862939	0.969325435214981
TCGA-44-6777-01A	0.0557155350590377	0	0.200828718562761	0.042869087572514	0	0.0859344108094773	0.0222634269719629	0.00467397396901353	0.00334069566923935	0	0.0103781868505049	0.00926720266925068	0.0104974117554915	0.123072613137498	0.0317184511019043	0.225824944874701	0.0615822039318401	0.00267879715429234	0.0904603062340539	0	0	0.0188940336764574	0	0.451932055509292	0.891828824773647
TCGA-44-6778-01A	0.018299782469257	0.0219454026066006	0.0810091330534156	0.0602056391759835	0	0.273552457804884	0.0542696569225285	0.0631867927118196	0	0	0.0202217217961903	0	0.0107738696416704	0.0808046141953203	0.105155291172963	0.120810602289448	0.0428180277273008	0	0.0349944604978415	0	0	0.0119525479347768	0.01	0.21429534967484	0.99690596767599
TCGA-44-6779-01A	0.0189670396371704	0	0.020138038912797	0.212187868908756	0	0.141973846029413	0.0465769253640681	0.0231958546936437	0.019621143581915	0	0.0221021021923657	0.035037990238851	0.0120788496432331	0.0290561440697559	0.115090516994217	0.135382074992207	0.0156311840586036	0	0.143013977602786	0	0	0.00994644308021667	0.01	0.315849411029172	0.955729544582351
